uID,variable,factor,.id,source,gray1.2,gray2.2,sex,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
98,2,Adult harms Baby,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,2,,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Ross.Slate2|Tversky.Gati|Hsee|Savani|Zhong|Shafir|Gray|Schwarz|Knobe|Tversky|Hauser|Norenzayan|Risen|Zaval|Geissner,ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing,7,Global,all,TRUE
99,3,Adult harms Baby,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,3,,1,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Savani|Tversky.Gati|Knobe|Zaval|Hauser|Zhong|Tversky|Schwarz|Risen|Ross.Slate2|Norenzayan|Shafir|Gray|Geissner|Hsee,ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five,13,Global,all,TRUE
100,7,Adult harms Baby,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,7,,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zaval|Hsee|Ross.Slate2|Tversky|Tversky.Gati|Zhong|Risen|Norenzayan|Savani|Gray|Hauser|Shafir|Knobe|Schwarz|Geissner,ID: Mood|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing,10,Global,all,TRUE
101,5,Adult harms Baby,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,5,,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hsee|Knobe|Hauser|Zaval|Ross.Slate2|Savani|Tversky|Risen|Geissner|Tversky.Gati|Gray|Schwarz|Zhong|Norenzayan|Shafir,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Mood,11,Global,all,TRUE
102,6,Adult harms Baby,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,6,,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hsee|Ross.Slate2|Zaval|Knobe|Schwarz|Zhong|Norenzayan|Gray|Tversky.Gati|Risen|Geissner|Savani|Tversky|Hauser|Shafir,ID: Mood|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection,8,Global,all,TRUE
104,7,Adult harms Baby,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,7,,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Zaval|Hsee|Zhong|Knobe|Shafir|Ross.Slate2|Savani|Risen|Norenzayan|Gray|Tversky|Schwarz|Hauser|Tversky.Gati|Geissner,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Mood,10,Global,all,TRUE
105,3,Adult harms Baby,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,3,,,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Norenzayan|Hsee|Zaval|Schwarz|Shafir|Ross.Slate2|Gray|Risen|Zhong|Geissner|Tversky.Gati|Knobe|Savani|Hauser|Tversky,ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE,7,Global,all,TRUE
107,6,Adult harms Baby,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,6,,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Savani|Knobe|Tversky.Gati|Norenzayan|Zhong|Shafir|Risen|Schwarz|Geissner|Gray|Ross.Slate2|Hsee|Tversky|Zaval,ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Cognitive reflection,11,Global,all,TRUE
108,7,Adult harms Baby,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,7,,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Gray|Ross.Slate2|Savani|Zaval|Norenzayan|Schwarz|Knobe|Hauser|Tversky|Risen|Geissner|Tversky.Gati|Hsee|Shafir|Zhong,ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five,1,Global,all,TRUE
109,2,Adult harms Baby,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,carleton,2,,2,carleton,carleton,carleton,Canada,"Carleton University, Ottawa, Canada",English,1,,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Schwarz|Savani|Tversky|Geissner|Gray|Risen|Knobe|Norenzayan|Zaval|Ross.Slate2|Shafir|Tversky.Gati|Zhong|Hauser|Hsee,ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE,5,Global,all,TRUE
